gid	code
MSTRG.11794.1	LEPC
MSTRG.11816.1	LEPC
MSTRG.11920.1	LEPC
MSTRG.11924.1	LEPC
MSTRG.11925.1	LEPC
MSTRG.11930.1	LEPC
MSTRG.11931.1	LEPC
MSTRG.11941.1	LEPC
MSTRG.11941.2	LEPC
MSTRG.11944.1	LEPC
MSTRG.11951.4	LEPC
MSTRG.11952.1	LEPC
MSTRG.11957.1	LEPC
MSTRG.11957.2	LEPC
MSTRG.12012.1	LEPC
MSTRG.12024.5	LEPC
MSTRG.12024.6	LEPC
MSTRG.12024.7	LEPC
MSTRG.12026.1	LEPC
MSTRG.12029.1	LEPC
MSTRG.12030.1	LEPC
MSTRG.12031.3	LEPC
MSTRG.12032.1	LEPC
MSTRG.12048.2	LEPC
MSTRG.12048.3	LEPC
MSTRG.12048.4	LEPC
MSTRG.12095.1	LEPC
MSTRG.12095.2	LEPC
MSTRG.12095.3	LEPC
MSTRG.12104.1	LEPC
MSTRG.12124.2	LEPC
MSTRG.12138.1	LEPC
MSTRG.12138.2	LEPC
MSTRG.12138.3	LEPC
MSTRG.12138.4	LEPC
MSTRG.12149.1	LEPC
MSTRG.12178.2	LEPC
MSTRG.12190.1	LEPC
MSTRG.12198.5	LEPC
MSTRG.12201.1	LEPC
MSTRG.12206.1	LEPC
MSTRG.12224.1	LEPC
MSTRG.12232.1	LEPC
MSTRG.12249.1	LEPC
MSTRG.12372.1	LEPC
MSTRG.12403.1	LEPC
MSTRG.12407.1	LEPC
MSTRG.12415.1	LEPC
MSTRG.12415.2	LEPC
MSTRG.12450.2	LEPC
MSTRG.12454.1	LEPC
MSTRG.12485.1	LEPC
MSTRG.12485.2	LEPC
MSTRG.12494.6	LEPC
MSTRG.12495.1	LEPC
MSTRG.12495.10	LEPC
MSTRG.12495.11	LEPC
MSTRG.12495.12	LEPC
MSTRG.12495.14	LEPC
MSTRG.12495.15	LEPC
MSTRG.12495.16	LEPC
MSTRG.12495.17	LEPC
MSTRG.12495.18	LEPC
MSTRG.12495.19	LEPC
MSTRG.12495.21	LEPC
MSTRG.12495.22	LEPC
MSTRG.12495.24	LEPC
MSTRG.12495.26	LEPC
MSTRG.12495.4	LEPC
MSTRG.12495.8	LEPC
MSTRG.12495.9	LEPC
MSTRG.12526.10	LEPC
MSTRG.12529.1	LEPC
MSTRG.12544.1	LEPC
MSTRG.12544.2	LEPC
MSTRG.12544.5	LEPC
MSTRG.12550.1	LEPC
MSTRG.12550.2	LEPC
MSTRG.12553.10	LEPC
MSTRG.12553.11	LEPC
MSTRG.12553.12	LEPC
MSTRG.12553.13	LEPC
MSTRG.12553.14	LEPC
MSTRG.12553.15	LEPC
MSTRG.12553.16	LEPC
MSTRG.12553.17	LEPC
MSTRG.12553.5	LEPC
MSTRG.12553.6	LEPC
MSTRG.12553.7	LEPC
MSTRG.12553.8	LEPC
MSTRG.12553.9	LEPC
MSTRG.12563.1	LEPC
MSTRG.12578.1	LEPC
MSTRG.12656.1	LEPC
MSTRG.12681.17	LEPC
MSTRG.12681.5	LEPC
MSTRG.12683.1	LEPC
MSTRG.12687.1	LEPC
MSTRG.12687.2	LEPC
